model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,768,768,64,256,64,64,256,64,0.009764928007498383,6.781200005207211e-05,207.11975048411028,1
Llama-120M,2048,768,256,256,64,256,256,64,0.025774848349392414,6.712200090987608e-05,207.11975048411028,1
Llama-120M,768,2048,64,256,64,64,256,64,0.032771327979862694,8.534199994755909e-05,207.11975048411028,1
Llama-120M,32000,768,160,256,32,160,256,32,0.6341519951820374,5.284599959850311e-05,207.11975048411028,1
Llama-120M,768,768,192,256,64,192,256,64,0.00993369620293379,6.898400140926243e-05,203.60089649319482,2
Llama-120M,768,2048,128,256,64,128,256,64,0.03342412780970335,8.704199950443581e-05,203.07453683957013,2
Llama-120M,768,2048,384,256,64,384,256,64,0.03378662444651127,8.798600116278976e-05,200.89575047568786,3
Llama-120M,768,768,128,256,64,128,256,64,0.010224575945176185,7.100399961927906e-05,197.80863903334372,3
Llama-120M,768,768,192,128,64,192,128,64,0.010389311816543342,3.607399936299771e-05,194.67212921531893,4
Llama-120M,768,2048,128,256,32,128,256,32,0.036392447277903556,4.738599905977026e-05,186.51093240281565,4
Llama-120M,32000,768,256,128,64,256,128,64,0.7175519980955869,5.9795999841298906e-05,183.04652953333067,2
Llama-120M,32000,768,64,256,64,64,256,64,0.7315200014272705,0.00012192000023787841,179.5513489102635,3
Llama-120M,32000,768,256,256,64,256,256,64,0.797303999424912,0.000132883999904152,164.7369172935825,4
Llama-120M,2048,768,512,256,64,512,256,64,0.033984000496566295,8.85000012931414e-05,157.0880438114204,2
Llama-120M,768,2048,384,256,32,384,256,32,0.04342886343598366,5.654799926560372e-05,156.29212319192632,5
Llama-120M,32000,768,320,256,32,320,256,32,0.8462400035932659,7.052000029943883e-05,155.21058145844134,5
Llama-120M,32000,768,128,128,64,128,128,64,0.8479679888114333,7.066399906761944e-05,154.89429405844257,6
Llama-120M,768,768,64,256,32,64,256,32,0.01326931254006922,4.607400187524035e-05,152.42006293099303,5
Llama-120M,32000,768,128,128,32,128,128,32,0.8973119873553514,3.738799947313964e-05,146.37651659844502,7
Llama-120M,768,2048,64,256,32,64,256,32,0.046777343451976774,6.090799928642809e-05,145.10420586817793,6
Llama-120M,768,2048,64,128,64,64,128,64,0.04726732760667801,6.154599948786199e-05,143.6000217889014,7
Llama-120M,768,2048,384,128,64,384,128,64,0.04834099262952804,6.294400081969797e-05,140.4106309160903,8
Llama-120M,768,2048,192,256,64,192,256,64,0.05164339207112789,0.00013448800018522888,131.4319025534502,9
Llama-120M,768,768,128,128,64,128,128,64,0.01605600005015731,5.575000017415732e-05,125.96595952231264,6
Llama-120M,32000,768,320,256,64,320,256,64,1.0566600115271285,0.00017611000192118808,124.30242611460096,8
Llama-120M,32000,768,64,128,64,64,128,64,1.07800800120458,8.983400010038168e-05,121.84084242819834,9
Llama-120M,768,768,384,256,64,384,256,64,0.016898688096553087,0.00011735200067050755,119.6844063191454,7
Llama-120M,2048,768,256,128,64,256,128,64,0.04540262416005135,5.911800020840019e-05,117.58087241990599,3
Llama-120M,768,768,64,128,64,64,128,64,0.017452799873426555,6.0599999560508874e-05,115.88452667057831,8
Llama-120M,2048,768,64,256,64,64,256,64,0.04664831981062889,0.00012147999950684607,114.44099552917997,4
Llama-120M,2048,768,128,128,64,128,128,64,0.04740710400044919,6.172800000058488e-05,112.60928654999378,5
Llama-120M,768,768,128,256,32,128,256,32,0.017979264026507735,6.242800009204075e-05,112.49122597156801,9
Llama-120M,768,2048,192,128,64,192,128,64,0.06139238432049751,7.993800041731446e-05,110.56076986337021,10
Llama-120M,2048,768,256,256,32,256,256,32,0.049373184219002726,6.42880002851598e-05,108.12509347609115,6
Llama-120M,32000,768,320,128,64,320,128,64,1.2168959830887616,0.00010140799859073013,107.93478229562355,10
Llama-120M,32000,768,64,256,32,64,256,32,1.2216479913331568,0.00010180399927776306,107.51493387859625,11
Llama-120M,768,768,192,128,32,192,128,32,0.018895104210823778,3.28040003660135e-05,107.0388090926644,10
Llama-120M,768,2048,128,128,64,128,128,64,0.06814003139734268,8.872399921528995e-05,99.61235906455431,11
Llama-120M,2048,768,512,128,64,512,128,64,0.05363251291215419,6.983400118770077e-05,99.53813217060976,7
Llama-120M,32000,768,64,64,64,64,64,64,1.3500959845259786,5.6253999355249106e-05,97.28597412073626,12
Llama-120M,768,768,32,256,32,32,256,32,0.02094854383729398,7.273799943504855e-05,96.54654128311107,11
Llama-120M,32000,768,32,256,32,32,256,32,1.3662720029242337,0.00011385600024368614,96.13415390931348,13
Llama-120M,768,768,192,256,32,192,256,32,0.021167423911392688,7.349799969233573e-05,95.54820940302587,12
Llama-120M,768,2048,128,128,32,128,128,32,0.07548825412988662,4.914599878247827e-05,89.91583329696881,12
Llama-120M,768,2048,256,64,64,256,64,64,0.07663411036133766,4.989199893316254e-05,88.57138475566462,13
Llama-120M,32000,768,256,128,32,256,128,32,1.6279200185090303,6.78300007712096e-05,80.68295832580284,14
Llama-120M,32000,768,128,256,32,128,256,32,1.6372079914435744,0.00013643399928696452,80.2252393694299,15
Llama-120M,768,2048,384,128,32,384,128,32,0.08513126313686371,5.5423999438062313e-05,79.7308653027953,14
Llama-120M,768,768,64,128,32,64,128,32,0.025536383483558894,4.433399910340086e-05,79.20109179557548,13
Llama-120M,2048,768,64,128,64,64,128,64,0.06806476794183254,8.862599992426112e-05,78.43235671433052,8
Llama-120M,768,768,192,64,64,192,64,64,0.025864703301340337,4.49039987870492e-05,78.19573373198357,14
Llama-120M,2048,768,128,256,64,128,256,64,0.0693196801096201,0.000180520000285469,77.01247539587348,9
Llama-120M,2048,768,64,256,32,64,256,32,0.06947635129094124,9.04639990767464e-05,76.83881003676144,10
Llama-120M,768,2048,32,256,32,32,256,32,0.08973158396780491,0.0001168379999580793,75.64325707944089,15
Llama-120M,2048,768,256,64,64,256,64,64,0.07185100570321083,4.677799850469455e-05,74.29931017170684,11
Llama-120M,768,2048,64,128,32,64,128,32,0.09611673519015312,6.257599947275594e-05,70.61818382401187,16
Llama-120M,768,768,128,64,64,128,64,64,0.028829951919615272,5.005199986044318e-05,70.15306366266583,15
Llama-120M,768,2048,128,64,64,128,64,64,0.09693388715386392,6.310799944913015e-05,70.02287304797866,17
Llama-120M,768,2048,256,256,64,256,256,64,0.09724646363407373,0.000253245999047067,69.79780056334955,18
Llama-120M,32000,768,128,256,64,128,256,64,1.9391399942105636,0.00032318999903509395,67.73384252980448,16
Llama-120M,768,768,384,128,64,384,128,64,0.030184128005057577,0.00010480600001756102,67.00572738326179,16
Llama-120M,768,2048,192,128,32,192,128,32,0.10148966476321221,6.607400049688295e-05,66.8796107471473,19
Llama-120M,768,2048,384,64,64,384,64,64,0.10196275323629381,6.638200080487878e-05,66.56930162029059,20
Llama-120M,2048,768,512,256,32,512,256,32,0.08061696074903012,0.00010497000097529963,66.2203103328497,12
Llama-120M,32000,768,160,128,32,160,128,32,2.019552004057914,8.414800016907975e-05,65.0369006330068,17
Llama-120M,2048,768,32,256,32,32,256,32,0.08243404872715474,0.00010733600094681606,64.76062065763101,13
Llama-120M,768,2048,192,64,64,192,64,64,0.1067243492603302,6.94819982163608e-05,63.599256601371216,21
Llama-120M,32000,768,256,256,32,256,256,32,2.2585200041066855,0.0001882100003422238,58.155519000176156,18
Llama-120M,2048,768,512,64,64,512,64,64,0.09356697589159012,6.091599992942065e-05,57.055174734697886,14
Llama-120M,768,2048,64,64,64,64,64,64,0.12109209448099136,7.883599901106208e-05,56.05311645912275,22
Llama-120M,768,768,256,64,64,256,64,64,0.03609907127916813,6.267199874855578e-05,56.02663394765795,17
Llama-120M,32000,768,256,64,64,256,64,64,2.357712001539767,9.823800006415695e-05,55.70884099725737,19
Llama-120M,32000,768,128,32,64,128,32,64,2.541408045217395,5.294600094202906e-05,51.68213867044277,20
Llama-120M,32000,768,64,64,32,64,64,32,2.5567679665982723,5.3265999304130675e-05,51.37165543647539,21
Llama-120M,768,768,64,64,64,64,64,64,0.03977625578641891,6.905599962919951e-05,50.84715522919895,18
Llama-120M,2048,768,512,128,32,512,128,32,0.10588262334465981,6.893399957334623e-05,50.41885051822514,15
Llama-120M,32000,768,320,64,32,320,64,32,2.6658239867538214,5.553799972403794e-05,49.27009572415312,22
Llama-120M,768,2048,32,64,32,32,64,32,0.13962240278720855,4.545000090729445e-05,48.61389819058425,23
Llama-120M,32000,768,128,64,64,128,64,64,2.7234719856642187,0.00011347799940267578,48.2271907706335,23
Llama-120M,32000,768,320,128,32,320,128,32,2.733935995493084,0.00011391399981221184,48.04260349460567,24
Llama-120M,2048,768,128,128,32,128,128,32,0.11135999947786332,7.249999966006726e-05,47.93893843321315,16
Llama-120M,2048,768,256,128,32,256,128,32,0.11232460543513298,7.31279983301647e-05,47.52725494303997,17
Llama-120M,2048,768,128,256,32,128,256,32,0.11266252823174,0.0001466960003017448,47.384700509392154,18
Llama-120M,2048,768,32,128,32,32,128,32,0.1130280987918377,7.358600181760266e-05,47.231442587774076,19
Llama-120M,768,768,128,32,64,128,32,64,0.0437414401397109,3.7970000121276826e-05,46.23783409847586,19
Llama-120M,2048,768,128,64,64,128,64,64,0.11575603008270263,7.536199875175953e-05,46.11837633925271,20
Llama-120M,768,768,32,128,32,32,128,32,0.046091520600020884,8.002000104170292e-05,43.880293513411424,20
Llama-120M,768,768,128,128,32,128,128,32,0.04784947207197547,8.307200012495741e-05,42.2681664985999,21
Llama-120M,2048,768,256,64,32,256,64,32,0.12692890137434004,4.1318001749459654e-05,42.05882270380358,21
Llama-120M,768,2048,256,64,32,256,64,32,0.16700621008872987,5.4364000679925087e-05,40.64273580375172,24
Llama-120M,32000,768,160,64,32,160,64,32,3.240959993563592,6.751999986590817e-05,40.526696803401045,25
Llama-120M,768,2048,256,256,32,256,256,32,0.16826572760939598,0.000219095999491401,40.33851319966053,25
Llama-120M,2048,768,64,64,64,64,64,64,0.13306367844343187,8.662999898660928e-05,40.11973982187361,22
Llama-120M,2048,768,64,128,32,64,128,32,0.13408358439803122,8.729400025913491e-05,39.81456926930367,23
Llama-120M,768,768,192,32,64,192,32,64,0.050929919220507144,4.42099993233569e-05,39.71161712728563,22
Llama-120M,768,2048,64,64,32,64,64,32,0.1712087059020996,5.573200061917305e-05,39.64511756839851,26
Llama-120M,768,768,256,256,64,256,256,64,0.05267260795924812,0.0003657819997170009,38.39774658534367,23
Llama-120M,768,2048,192,256,32,192,256,32,0.1798026240617037,0.00023411800008034335,37.75022366688472,27
Llama-120M,768,768,384,128,32,384,128,32,0.05506099216639995,9.559200028888882e-05,36.73216505609152,24
Llama-120M,768,2048,256,128,64,256,128,64,0.19467724844813347,0.0002534860005835071,34.865857866439256,28
Llama-120M,768,2048,256,128,32,256,128,32,0.19714252665638923,0.0001283479991252534,34.42985838389184,29
Llama-120M,768,768,256,32,64,256,32,64,0.06108134407550097,5.3022000065539034e-05,33.11173784762164,25
Llama-120M,768,2048,192,64,32,192,64,32,0.20507443338632583,6.675600045127794e-05,33.09817397586282,30
Llama-120M,768,768,192,64,32,192,64,32,0.06134399905800819,5.324999918229878e-05,32.96996419316969,26
Llama-120M,32000,768,64,32,64,64,32,64,4.001087914220989,8.335599821293727e-05,32.82742239785981,26
Llama-120M,768,768,256,64,32,256,64,32,0.06266649439930916,5.439799861051142e-05,32.27417572652128,27
Llama-120M,32000,768,32,128,32,32,128,32,4.127039986196905,0.00017195999942487105,31.825570736022826,27
Llama-120M,32000,768,256,32,64,256,32,64,4.246655981987715,8.847199962474405e-05,30.92913661200924,28
Llama-120M,32000,768,256,64,32,256,64,32,4.271328044123948,8.898600091924891e-05,30.75048360937665,29
Llama-120M,768,768,384,256,32,384,256,32,0.06898924810811878,0.00023954600037541242,29.316299392605682,28
Llama-120M,768,768,128,64,32,128,64,32,0.07047936055809259,6.118000048445538e-05,28.696478463951333,29
