model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-1B,2048,2048,512,256,64,512,256,64,0.06974873542785645,6.811399944126607e-05,27.856616560782157,1
Llama-1B,5632,2048,128,256,64,128,256,64,0.19718195281922815,7.002200029091909e-05,27.856616560782157,1
Llama-1B,2048,5632,64,256,64,64,256,64,0.2872714231908321,0.00010201399971265345,27.856616560782157,1
Llama-1B,32000,2048,128,256,64,128,256,64,0.6238720007240772,3.8992000045254824e-05,27.856616560782157,1
Llama-1B,2048,2048,64,256,64,64,256,64,0.0727756816148758,7.107000157702715e-05,26.697981184089457,2
Llama-1B,2048,5632,512,256,64,512,256,64,0.31188326291739943,0.00011075399961555377,25.65834988976817,2
Llama-1B,2048,2048,128,256,64,128,256,64,0.0767651829123497,7.49659989378415e-05,25.310481975034314,3
Llama-1B,2048,5632,128,256,64,128,256,64,0.31646771140396596,0.00011238199978834018,25.286655150996577,3
Llama-1B,2048,2048,128,128,64,128,128,64,0.07771750628948211,3.794800111791119e-05,25.00033610414736,4
Llama-1B,32000,2048,256,256,32,256,256,32,0.7333759404718876,2.291799813974649e-05,23.697209232138444,2
Llama-1B,2048,5632,256,256,64,256,256,64,0.338083331361413,0.00012005800119368359,23.669933245370714,4
Llama-1B,32000,2048,256,256,64,256,256,64,0.7761600147932768,4.85100009245798e-05,22.39095389603052,3
Llama-1B,2048,5632,256,256,32,256,256,32,0.37182463720440867,6.60199995036237e-05,21.522000115064753,5
Llama-1B,5632,2048,256,128,64,256,128,64,0.2556026919186115,4.538400069577619e-05,21.489687808689002,2
Llama-1B,5632,2048,256,256,64,256,256,64,0.26623590774834155,9.45440013310872e-05,20.63140956021434,3
Llama-1B,32000,2048,320,256,64,320,256,64,0.9629120165482163,6.018200103426352e-05,18.048339628658486,4
Llama-1B,2048,5632,128,128,64,128,128,64,0.44504063740372657,7.901999953901395e-05,17.98130150851295,6
Llama-1B,5632,2048,512,256,64,512,256,64,0.3194920987635851,0.00011345600098138674,17.192356473441322,4
Llama-1B,2048,5632,32,128,32,32,128,32,0.5255782458186149,4.666000051656738e-05,15.225915357727622,7
Llama-1B,5632,2048,512,256,32,512,256,32,0.3636244450509548,6.456399947637692e-05,15.105755751986822,5
Llama-1B,32000,2048,128,128,64,128,128,64,1.1719039920717478,3.662199975224212e-05,14.82968163326696,5
Llama-1B,2048,5632,64,256,32,64,256,32,0.5560023087263107,9.87220008391887e-05,14.392763769325171,8
Llama-1B,2048,2048,256,256,32,256,256,32,0.1455063033103943,7.104799966327847e-05,13.353124464089404,5
Llama-1B,5632,2048,512,128,64,512,128,64,0.41782681927084925,7.418800058076158e-05,13.146169175968685,6
Llama-1B,2048,5632,32,256,32,32,256,32,0.6264924149215221,0.0001112379998085089,12.773354783073662,9
Llama-1B,2048,2048,256,128,64,256,128,64,0.15488614082336427,7.562799844890834e-05,12.544465037895417,6
Llama-1B,32000,2048,128,256,32,128,256,32,1.4046079572290182,4.389399866340682e-05,12.372821197356371,6
Llama-1B,2048,2048,256,256,64,256,256,64,0.15723520129919052,0.00015355000126874075,12.357053397452177,7
Llama-1B,2048,5632,128,256,32,128,256,32,0.6514872294664383,0.00011567599955014885,12.283295086614498,10
Llama-1B,2048,5632,512,128,64,512,128,64,0.6820013985037804,0.00012109399831388146,11.733714772804582,11
Llama-1B,32000,2048,160,256,32,160,256,32,1.5587840229272842,4.8712000716477635e-05,11.149051344869564,7
Llama-1B,2048,5632,64,128,64,64,128,64,0.7442913354933263,0.00013215400133049116,10.751717107378509,12
Llama-1B,2048,5632,512,128,32,512,128,32,0.7609057292342185,6.755200010957196e-05,10.516953122104733,13
Llama-1B,2048,5632,128,64,64,128,64,64,0.7612436518073082,6.758200033800677e-05,10.512284556591382,14
Llama-1B,2048,5632,512,256,32,512,256,32,0.8008140851557255,0.00014219000091543422,9.992843573850292,15
Llama-1B,2048,5632,64,128,32,64,128,32,0.8590151557326318,7.626199891092256e-05,9.315795921984805,16
Llama-1B,2048,2048,128,256,32,128,256,32,0.20977254390716552,0.00010242799995467066,9.262240626080667,8
Llama-1B,32000,2048,128,64,64,128,64,64,1.9037439860403538,2.9745999781880528e-05,9.128834147140541,8
Llama-1B,2048,5632,128,128,32,128,128,32,0.8800112608075142,7.812599971657619e-05,9.093531232036778,17
Llama-1B,2048,5632,256,128,64,256,128,64,0.8938772487640381,0.00015871400013566016,8.952470706422057,18
Llama-1B,5632,2048,128,256,32,128,256,32,0.630986754000187,0.00011203600035514683,8.705130523849077,7
Llama-1B,2048,2048,128,64,64,128,64,64,0.2277785587310791,5.560999969020486e-05,8.53005563489911,9
Llama-1B,5632,2048,512,128,32,512,128,32,0.6537400269508362,5.803799955174327e-05,8.402150435871288,8
Llama-1B,32000,2048,320,256,32,320,256,32,2.215871997177601,6.924599991180003e-05,7.842945408992284,9
Llama-1B,32000,2048,320,128,64,320,128,64,2.2282879799604416,6.96339993737638e-05,7.799244650364785,10
Llama-1B,5632,2048,256,256,32,256,256,32,0.7550371864438057,0.00013406200043391436,7.274902681631411,9
Llama-1B,5632,2048,32,128,32,32,128,32,0.7608381447196008,6.754600006388501e-05,7.219435684860151,10
Llama-1B,2048,2048,512,256,32,512,256,32,0.2703073281049728,0.00013198600005125626,7.18798040746678,10
Llama-1B,32000,2048,256,64,64,256,64,64,2.5539840385317802,3.9906000602059066e-05,6.804648284790906,11
Llama-1B,2048,2048,256,64,64,256,64,64,0.28818636655807495,7.035799964796752e-05,6.7420391936607995,11
