model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl1,768,768,256,256,64,256,256,64,0.0017462303992942904,1.212659999509924e-05,73300.75117907066,1
Llama-120M,tl1,768,768,192,256,64,192,256,64,0.0017485055981524055,1.2142399987169483e-05,73205.37042332254,2
Llama-120M,tl1,768,768,128,256,64,128,256,64,0.0017488224013504808,1.2144600009378338e-05,73192.10910219097,3
Llama-120M,tl1,768,768,384,256,64,384,256,64,0.0017510688037873476,1.2160200026301026e-05,73098.21277333687,4
Llama-120M,tl1,768,768,64,256,64,64,256,64,0.0019081152062426553,1.3250800043351773e-05,67081.90343079432,5
Llama-120M,tl1,768,768,192,128,64,192,128,64,0.00246240000196849,8.550000006835035e-06,51981.80632621602,6
Llama-120M,tl1,768,768,256,128,64,256,128,64,0.002471040008822456,8.580000030633528e-06,51800.051615107936,7
Llama-120M,tl1,768,768,192,256,32,192,256,32,0.0024719615990761667,8.583199996792245e-06,51780.73965543671,8
Llama-120M,tl1,768,768,128,256,32,128,256,32,0.0024791039890260437,8.607999961895985e-06,51631.55743631669,9
Llama-120M,tl1,768,768,128,128,64,128,128,64,0.0024819839978590607,8.617999992566183e-06,51571.645953564475,10
Llama-120M,tl1,768,768,256,256,32,256,256,32,0.002483711992681492,8.623999974588514e-06,51535.76597333544,11
Llama-120M,tl1,768,768,384,256,32,384,256,32,0.0024888960033422336,8.642000011604978e-06,51428.424421154676,12
Llama-120M,tl1,768,768,64,128,64,64,128,64,0.002526393593143439,8.772199976192496e-06,50665.106318899954,13
Llama-120M,tl1,768,768,64,256,32,64,256,32,0.0026153280086873565,9.081000030164432e-06,48942.235763476456,14
Llama-120M,tl1,768,768,32,256,32,32,256,32,0.0026222400010738056,9.105000003728492e-06,48813.22836490332,15
Llama-120M,tl1,768,768,384,128,64,384,128,64,0.00331868160283193,1.152320000983309e-05,38569.53312145817,16
Llama-120M,tl1,768,768,128,128,32,128,128,32,0.003801830387965311,6.600399979106442e-06,33667.99329217417,17
Llama-120M,tl1,768,768,128,64,64,128,64,64,0.003802867203194182,6.602200005545455e-06,33658.81403707382,18
Llama-120M,tl1,768,768,64,128,32,64,128,32,0.0038398463919293133,6.666399985988391e-06,33334.666790065785,19
Llama-120M,tl1,768,768,32,128,32,32,128,32,0.003849177584925201,6.682599973828474e-06,33253.85674625541,20
Llama-120M,tl1,768,768,64,64,64,64,64,64,0.003910118408384733,6.788400014556828e-06,32735.581542881384,21
Llama-120M,tl1,768,768,384,64,64,384,64,64,0.003943641594378277,6.846599990240065e-06,32457.310568603905,22
Llama-120M,tl1,768,768,256,128,32,256,128,32,0.003952972800470889,6.862800000817515e-06,32380.69333154842,23
Llama-120M,tl1,768,768,384,128,32,384,128,32,0.003964377571537624,6.882599950586154e-06,32287.540147280648,24
Llama-120M,tl1,768,768,256,64,64,256,64,64,0.003965759996208362,6.8849999934172955e-06,32276.2850304557,25
Llama-120M,tl1,768,768,192,128,32,192,128,32,0.003969216012046673,6.891000020914362e-06,32248.181910865194,26
Llama-120M,tl1,768,768,192,64,64,192,64,64,0.003976128004433122,6.903000007696392e-06,32192.12255171071,27
Llama-120M,tl1,768,768,256,32,64,256,32,64,0.006827673636144027,5.926800031375023e-06,18747.234683626273,28
Llama-120M,tl1,768,768,128,64,32,128,64,32,0.006827904007514007,5.927000006522576e-06,18746.602157724818,29
