model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-1B,tl2,2048,2048,128,192,32,128,192,32,0.023635814536828545,8.393400048589682e-06,5415.510423833908,1
Llama-1B,tl2,2048,2048,64,192,32,64,192,32,0.023709593724925072,8.419600044362597e-06,5398.658512880296,2
Llama-1B,tl2,2048,2048,512,192,32,512,192,32,0.02375971850706264,8.437400038019404e-06,5387.269212046921,3
Llama-1B,tl2,2048,2048,256,192,32,256,192,32,0.023799705604324116,8.451600001535553e-06,5378.217786725226,4
Llama-1B,tl2,2048,2048,32,192,32,32,192,32,0.024438374501187354,8.67840003593301e-06,5237.664231464373,5
Llama-1B,tl2,2048,2048,128,96,32,128,96,32,0.03510763503145427,6.233599970073556e-06,3645.930575651704,6
Llama-1B,tl2,2048,2048,512,96,32,512,96,32,0.03510876167565584,6.23380001343321e-06,3645.8135773200534,7
Llama-1B,tl2,2048,2048,64,96,32,64,96,32,0.03525294075952843,6.259399992813997e-06,3630.902762783079,8
Llama-1B,tl2,2048,2048,256,96,32,256,96,32,0.035410636884626,6.287400015025923e-06,3614.733065012251,9
Llama-1B,tl2,2048,2048,32,96,32,32,96,32,0.0391806973842904,6.9567999616992894e-06,3266.9147959403585,10
Llama-1B,tl2,2048,5632,128,192,32,128,192,32,0.06066124804783613,7.898600006228663e-06,2110.0785776623325,1
Llama-1B,tl2,2048,5632,512,192,32,512,192,32,0.06066124804783613,7.898600006228663e-06,2110.0785776623325,2
Llama-1B,tl2,2048,5632,256,192,32,256,192,32,0.06078566412907094,7.914800016806112e-06,2105.759669388618,3
Llama-1B,tl2,2048,5632,32,192,32,32,192,32,0.06107903982046991,7.952999976623686e-06,2095.6452553319664,4
Llama-1B,tl2,2048,5632,64,192,32,64,192,32,0.062462976202368736,8.133200026350096e-06,2049.2139149006152,5
Llama-1B,tl2,2048,5632,32,96,32,32,96,32,0.09276272656279616,6.1416000107783475e-06,1379.864572149567,6
Llama-1B,tl2,2048,5632,128,96,32,128,96,32,0.09763527660397812,6.464199987021857e-06,1311.001560626343,7
Llama-1B,tl2,2048,5632,64,96,32,64,96,32,0.09766246454673819,6.466000036198238e-06,1310.6365950732609,8
Llama-1B,tl2,2048,5632,256,96,32,256,96,32,0.09859891225933097,6.528000017169688e-06,1298.1887636177917,9
Llama-1B,tl2,2048,5632,512,96,32,512,96,32,0.13879065603250637,9.18900000215217e-06,922.2522874307974,10
Llama-1B,tl2,5632,2048,512,192,32,512,192,32,0.06164998404419747,7.961000005707319e-06,2076.2373581189504,1
Llama-1B,tl2,5632,2048,64,192,32,64,192,32,0.061679411285149394,7.964800010995532e-06,2075.24678548316,2
Llama-1B,tl2,5632,2048,128,192,32,128,192,32,0.06175840013020206,7.975000016813283e-06,2072.5925498417087,3
Llama-1B,tl2,5632,2048,256,192,32,256,192,32,0.0629029631993035,8.122799999910058e-06,2034.8802900499495,4
Llama-1B,tl2,5632,2048,32,192,32,32,192,32,0.06824477442860372,8.812600003693661e-06,1875.6014811641144,5
Llama-1B,tl2,5632,2048,64,96,32,64,96,32,0.09269568010931833,5.985000007058261e-06,1380.862623253278,6
Llama-1B,tl2,5632,2048,256,96,32,256,96,32,0.09313244166842197,6.0132000044177404e-06,1374.386816311726,7
Llama-1B,tl2,5632,2048,32,96,32,32,96,32,0.09846960637078156,6.357799998113478e-06,1299.893487113409,8
Llama-1B,tl2,5632,2048,128,96,32,128,96,32,0.10026311646797695,6.473599978562561e-06,1276.6409474303737,9
Llama-1B,tl2,5632,2048,512,96,32,512,96,32,0.10044897296756972,6.485600010819326e-06,1274.2788325105646,10
Llama-1B,tl2,32000,2048,160,192,32,160,192,32,0.3455055997619638,7.852399994590087e-06,370.47156424725284,1
Llama-1B,tl2,32000,2048,64,192,32,64,192,32,0.3465616005996708,7.876400013628882e-06,369.34270784332705,2
Llama-1B,tl2,32000,2048,32,192,32,32,192,32,0.34676399945965386,7.880999987719406e-06,369.12713026570356,3
Llama-1B,tl2,32000,2048,128,192,32,128,192,32,0.3470191977612558,7.88679994911945e-06,368.85567376610146,4
Llama-1B,tl2,32000,2048,256,192,32,256,192,32,0.34850639904107084,7.920599978206156e-06,367.2816348629382,5
Llama-1B,tl2,32000,2048,320,192,32,320,192,32,0.376798400975531,8.563600022171159e-06,339.70420168612185,6
Llama-1B,tl2,32000,2048,128,96,32,128,96,32,0.5635520008581807,6.404000009752053e-06,227.13077019526284,7
Llama-1B,tl2,32000,2048,256,96,32,256,96,32,0.5644320015562698,6.414000017684884e-06,226.7766527182625,8
Llama-1B,tl2,32000,2048,160,96,32,160,96,32,0.5679520003468497,6.454000003941473e-06,225.3711579884041,9
Llama-1B,tl2,32000,2048,64,96,32,64,96,32,0.5681280004864675,6.45600000552804e-06,225.30134035005884,10
Llama-1B,tl2,32000,2048,32,96,32,32,96,32,0.5778079981610063,6.565999979102344e-06,221.52687468395476,11
Llama-1B,tl2,32000,2048,320,96,32,320,96,32,0.8013984026547405,9.106800030167506e-06,159.72080749847106,12
