model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-300M,1024,1024,512,192,32,512,192,32,0.02174975976347923,2.8319999692030252e-05,81.06511864709148,1
Llama-300M,2816,1024,32,192,32,32,192,32,0.05826585648581385,2.75880002300255e-05,81.06511864709148,1
Llama-300M,1024,2816,64,192,32,64,192,32,0.0623961579054594,3.249799890909344e-05,81.06511864709148,1
Llama-300M,32000,1024,256,192,32,256,192,32,0.6972000212408602,2.9050000885035844e-05,81.06511864709148,1
Llama-300M,1024,1024,256,192,32,256,192,32,0.022195200696587564,2.8900000907015055e-05,79.43820287433842,2
Llama-300M,1024,1024,64,192,32,64,192,32,0.023568383529782293,3.068799938773736e-05,74.80983384134817,3
Llama-300M,32000,1024,128,192,32,128,192,32,0.7588320085778832,3.16180003574118e-05,74.4810469296963,2
Llama-300M,32000,1024,64,192,32,64,192,32,0.7588799949735403,3.161999979056418e-05,74.4763372562162,3
Llama-300M,32000,1024,160,192,32,160,192,32,0.7647360325790942,3.186400135746226e-05,73.90602774663883,4
Llama-300M,32000,1024,320,192,32,320,192,32,0.8993759751319885,3.7473998963832857e-05,62.842019361647516,5
Llama-300M,1024,2816,512,192,32,512,192,32,0.08583936262875795,4.470800136914477e-05,58.9257863621897,2
Llama-300M,1024,2816,32,192,32,32,192,32,0.08884991928935052,4.627599962987006e-05,56.92916756914812,3
Llama-300M,32000,1024,320,96,32,320,96,32,1.0258160124067217,2.3314000281970947e-05,55.096237297021446,6
Llama-300M,32000,1024,256,96,32,256,96,32,1.0537120327353477,2.3948000743985177e-05,53.63761700236781,7
Llama-300M,1024,1024,512,96,32,512,96,32,0.03365964736789465,2.390599955106154e-05,52.381619940971525,4
Llama-300M,32000,1024,32,192,32,32,192,32,1.0899359872564673,4.541399946901947e-05,51.854974148445955,8
Llama-300M,2816,1024,256,192,32,256,192,32,0.09150873698294162,4.332800046540797e-05,51.61614863045692,2
Llama-300M,2816,1024,128,192,32,128,192,32,0.09193113651126622,4.352800024207681e-05,51.378985927342015,3
Llama-300M,1024,2816,128,192,32,128,192,32,0.09866496361792088,5.138800188433379e-05,51.265938366088754,4
Llama-300M,1024,1024,128,192,32,128,192,32,0.034827264323830605,4.534800042165443e-05,50.625476620216325,5
Llama-300M,1024,1024,32,192,32,32,192,32,0.03528038308024407,4.593799880240113e-05,49.97527526166485,6
Llama-300M,32000,1024,128,96,32,128,96,32,1.135639965068549,2.5809999206103383e-05,49.76806398252591,9
Llama-300M,1024,1024,64,96,32,64,96,32,0.03574630491435528,2.5388000649400057e-05,49.32389123845139,7
Llama-300M,2816,1024,64,192,32,64,192,32,0.09682252826169134,4.584400012390688e-05,48.7833632719311,4
Llama-300M,32000,1024,160,96,32,160,96,32,1.1810480162966996,2.6842000370379537e-05,47.854618663062546,10
Llama-300M,2816,1024,32,96,32,32,96,32,0.09915417936630545,2.5608000869397073e-05,47.636202521000186,5
Llama-300M,1024,2816,128,96,32,128,96,32,0.11125248000025749,2.8972000000067054e-05,45.4655208020263,5
Llama-300M,2816,1024,64,96,32,64,96,32,0.10628640132956206,2.7450000343378632e-05,44.43963206968771,6
Llama-300M,1024,1024,32,96,32,32,96,32,0.04051660794764757,2.8775999962817876e-05,43.51664527421403,8
Llama-300M,1024,2816,256,192,32,256,192,32,0.12202368211001158,6.355400109896437e-05,41.45221530988139,6
Llama-300M,1024,2816,256,96,32,256,96,32,0.13637376464903356,3.551400121068582e-05,37.09035940121029,7
Llama-300M,1024,2816,32,96,32,32,96,32,0.14287103600800036,3.720599896041676e-05,35.40362053121446,8
Llama-300M,1024,1024,256,96,32,256,96,32,0.05057817757129669,3.5922001115977766e-05,34.859833636488574,9
Llama-300M,1024,2816,512,96,32,512,96,32,0.15099647752940656,3.932199935661629e-05,33.49847643130381,9
Llama-300M,2816,1024,256,96,32,256,96,32,0.1418313581496477,3.662999952211976e-05,33.30242783202621,7
Llama-300M,32000,1024,32,96,32,32,96,32,1.7824399599339813,4.0509999089408665e-05,31.70855889291126,11
Llama-300M,1024,1024,128,96,32,128,96,32,0.056483331099152566,4.0116002201102676e-05,31.2153483419223,10
Llama-300M,1024,2816,64,96,32,64,96,32,0.1693363208323717,4.4098000216763467e-05,29.870449049946313,10
Llama-300M,2816,1024,128,96,32,128,96,32,0.1652337217889726,4.267399839591235e-05,28.58574217149983,8
Llama-300M,32000,1024,64,96,32,64,96,32,2.491895945277065,5.663399875629693e-05,22.68096408670906,12
